foodName_id,foodName_en,category,mealType,calories,protein,carbs,fat
Bungkus Hummus (besar),Hummus Wrap (large),Meal/Vegetarian,Lunch,450,15.0,60.0,18.0
Kombucha (1 cangkir),Kombucha (1 cup),Beverage,Snack,30,0.0,7.0,0.0
"Stroganoff Daging Sapi (1,5 cangkir)",Beef Stroganoff (1.5 cups),Meal/Pasta,Dinner,550,30.0,40.0,28.0
Mie Telur (1 cangkir dimasak),Egg Noodles (1 cup cooked),Grain,Dinner,220,8.0,40.0,3.0
Keju Cottage (1 cangkir rendah lemak),Cottage Cheese (1 cup low fat),Dairy,Lunch,160,28.0,6.0,2.5
Tomat (1 iris sedang),Tomato (1 medium sliced),Vegetable,Lunch,22,1.1,4.8,0.2
Lada Hitam (1 sdt),Black Pepper (1 tsp),Condiment,Lunch,6,0.2,1.5,0.1
Puding Coklat (1/2 cangkir),Chocolate Pudding (1/2 cup),Dessert,Snack,150,2.0,28.0,4.0
Makarel (3oz dimasak),Mackerel (3oz cooked),Protein/Fish,Dinner,175,16.0,0.0,12.0
Collard Greens (1 cangkir dimasak),Collard Greens (1 cup cooked),Vegetable,Dinner,60,5.0,10.0,1.0
Ham (3oz deli diiris),Ham (3oz deli sliced),Protein/Meat,Lunch,110,16.0,2.0,4.0
Keju Swiss (1 potong),Swiss Cheese (1 slice),Dairy,Lunch,106,7.6,1.0,8.0
Roti Gandum Hitam (1 potong),Rye Bread (1 slice),Grain,Lunch,83,2.7,15.5,1.1
Sup Daun Bawang Kentang (1 cangkir),Potato Leek Soup (1 cup),Meal/Vegetable,Lunch,180,4.0,25.0,7.0
Keju Brie (1 ons),Brie Cheese (1 oz),Dairy,Snack,95,6.0,0.1,7.9
Kerupuk Air (5 kerupuk),Water Cracker (5 crackers),Grain/Processed,Snack,70,1.5,12.0,1.5
Jeruk bali (1/2 sedang),Grapefruit (1/2 medium),Fruit,Breakfast,52,1.1,13.2,0.2
Sedotan Sayuran (1 ons),Veggie Straws (1 oz),Snack/Processed,Snack,130,1.0,17.0,7.0
Taco Ikan (2 taco),Fish Tacos (2 tacos),Meal/Fish,Dinner,420,25.0,40.0,18.0
Selada Kubis (samping),Cabbage Slaw (side),Vegetable,Dinner,60,1.0,8.0,3.0
Jeruk Nipis (jus 1 buah),Lime (juice of 1),Condiment,Dinner,11,0.2,3.7,0.0
Bir (12 ons ringan),Beer (12 oz light),Beverage,Snack,103,0.9,5.8,0.0
Denmark (Keju 1 sedang),Danish (Cheese 1 medium),Dessert,Breakfast,340,7.0,38.0,18.0
Kefir (biasa 1 gelas),Kefir (Plain 1 cup),Beverage/Dairy,Breakfast,104,10.0,10.0,2.5
Gnocchi (1 cangkir),Gnocchi (1 cup),Meal/Pasta,Dinner,210,4.5,45.0,1.5
Saus Pesto (1/4 cangkir),Pesto Sauce (1/4 cup),Condiment,Dinner,260,5.0,4.0,26.0
Kacang Pinus (1 sdm),Pine Nuts (1 tbsp),Nut,Dinner,95,2.0,2.0,10.0
Chai Latte (12 ons),Chai Latte (12 oz),Beverage,Snack,190,7.0,32.0,4.0
Manicotti (keju 2 kulit),Manicotti (2 shells cheese),Meal/Pasta,Dinner,380,20.0,35.0,18.0
Sosis Italia (1 tautan),Italian Sausage (1 link),Protein/Meat,Dinner,200,12.0,3.0,16.0
Bengkuang (1 cangkir batang),Jicama (1 cup sticks),Vegetable,Snack,46,0.9,10.6,0.1
Bubuk Cabai (1 sdt),Chili Powder (1 tsp),Condiment,Snack,8,0.3,1.4,0.4
Semut di Batang Kayu (4 pcs),Ants on a Log (4 pcs),Snack,Snack,180,6.0,12.0,12.0
Sup Kacang Belah (1 cangkir),Split Pea Soup (1 cup),Meal/Legume,Lunch,180,11.0,30.0,2.0
Croissant Ham & Keju,Ham & Cheese Croissant,Meal/Processed,Breakfast,400,15.0,35.0,22.0
Espresso (tembakan ganda),Espresso (double shot),Beverage,Breakfast,5,0.5,0.0,0.1
Keju Ricotta (1/4 cangkir),Ricotta Cheese (1/4 cup),Dairy,Dinner,85,5.5,2.5,6.0
Sup Ayam & Nasi (1 kaleng),Chicken & Rice Soup (1 can),Meal/Processed,Lunch,130,7.0,18.0,3.0
Garam (1/4 sdt),Salt (1/4 tsp),Condiment,Dinner,0,0.0,0.0,0.0
Jambu biji,Guava,Fruit,Snack,68,2.6,14.3,0.9
Klub sandwich,Club Sandwich,Meal/Processed,Lunch,580,35.0,40.0,30.0
Acar (1 adas utuh),Pickle (1 whole dill),Vegetable,Snack,17,0.8,3.7,0.2
Cabai Kalkun (1 cangkir),Turkey Chili (1 cup),Meal/Meat,Dinner,250,22.0,25.0,7.0
Krim Asam (2 sdm),Sour Cream (2 tbsp),Condiment/Dairy,Dinner,60,0.8,1.3,5.8
Keju Parut (Cheddar 1/4 cangkir),Shredded Cheese (Cheddar 1/4 cup),Dairy,Dinner,115,7.0,1.0,9.5
Matcha Latte (12 ons),Matcha Latte (12 oz),Beverage,Snack,180,6.0,28.0,5.0
Donat Coklat (1 sedang),Chocolate Donut (1 medium),Dessert,Breakfast,300,4.0,35.0,17.0
Tuna Meleleh,Tuna Melt,Meal/Processed,Lunch,450,25.0,32.0,25.0
Sari Apel (1 cangkir),Apple Cider (1 cup),Beverage,Snack,117,0.1,29.0,0.3
Burrito Daging Sapi (besar),Beef Burrito (large),Meal/Processed,Dinner,650,30.0,70.0,28.0
Pico de Gallo (1/4 cangkir),Pico de Gallo (1/4 cup),Condiment,Dinner,15,0.5,3.0,0.0
Tortilla Jagung (1 sedang),Corn Tortilla (1 medium),Grain,Dinner,52,1.4,11.2,0.7
Kerang (3oz dikukus),Mussels (3oz steamed),Protein/Seafood,Dinner,146,20.0,6.0,4.0
Saus Anggur Putih (1/4 cangkir),White Wine Sauce (1/4 cup),Condiment,Dinner,80,1.0,4.0,6.0
Roti Perancis (2 potong),French Bread (2 slices),Grain,Dinner,180,6.0,36.0,1.0
Blackberry (1 cangkir),Blackberries (1 cup),Fruit,Snack,62,2.0,13.8,0.7
Keju Denmark,Cheese Danish,Dessert,Breakfast,340,7.0,38.0,18.0
Sandwich Salad Ayam,Chicken Salad Sandwich,Meal/Processed,Lunch,420,20.0,35.0,20.0
Kedelai (2 ons),Soyrizo (2 oz),Protein/Vegetarian,Breakfast,140,10.0,6.0,9.0
Hash Brown (1 cangkir),Hash Browns (1 cup),Vegetable,Breakfast,330,3.0,38.0,19.0
Kecap (1 bungkus),Ketchup (1 packet),Condiment,Breakfast,10,0.1,2.5,0.0
Philly Cheesesteak (6 inci),Philly Cheesesteak (6 inch),Meal/Processed,Lunch,500,25.0,40.0,28.0
Jagoan Keju (2 sdm),Cheese Whiz (2 tbsp),Condiment/Processed,Lunch,90,4.0,3.0,7.0
Bawang bombay (tumis 1/4 cangkir),Onions (sautéed 1/4 cup),Vegetable,Lunch,30,0.5,5.0,1.0
Raspberry (1 cangkir),Raspberries (1 cup),Fruit,Snack,64,1.5,14.7,0.8
Bubur jagung keju (1 cangkir),Cheesy Grits (1 cup),Meal/Grain,Breakfast,210,6.0,34.0,6.0
Collard Greens (dengan ham hock),Collard Greens (with ham hock),Vegetable,Dinner,180,10.0,15.0,9.0
Okra Goreng (1 cangkir),Fried Okra (1 cup),Vegetable,Dinner,220,4.0,25.0,12.0
Teh Manis (16 ons),Sweet Tea (16 oz),Beverage,Lunch,180,0.0,46.0,0.0
Gyro (1 sandwich),Gyro (1 sandwich),Meal/Meat,Dinner,600,25.0,55.0,30.0
Roti Pita (Putih 1 besar),Pita Bread (White 1 large),Grain,Dinner,220,7.0,45.0,2.0
Saus Tzatziki (2 sdm),Tzatziki Sauce (2 tbsp),Condiment,Dinner,30,1.5,2.0,2.0
Baklava (1 buah),Baklava (1 piece),Dessert,Snack,280,3.0,30.0,18.0
Kelapa (diparut 1/4 gelas),Coconut (shredded 1/4 cup),Fruit,Snack,110,1.0,4.5,10.5
S'more (1 porsi),S'more (1 serving),Dessert,Snack,140,2.0,25.0,4.0
Graham Cracker (1 persegi panjang besar),Graham Cracker (1 large rectangle),Grain/Processed,Snack,60,1.0,11.0,1.5
Marshmallow (1 besar),Marshmallow (1 large),Dessert,Snack,23,0.1,5.8,0.0
Cokelat (Hershey's bar 1 segmen),Chocolate (Hershey's bar 1 segment),Dessert,Snack,25,0.3,3.0,1.5
Sandwich Parm Ayam,Chicken Parm Sandwich,Meal/Processed,Lunch,650,40.0,55.0,30.0
Mozzarella (1 potong),Mozzarella (1 slice),Dairy,Lunch,80,6.0,1.0,6.0
Roti Gulung (hoagie),Bread Roll (hoagie),Grain,Lunch,200,6.0,38.0,2.0
Artichoke (1 sedang dikukus),Artichoke (1 medium steamed),Vegetable,Dinner,60,4.2,13.4,0.2
Mayones (1 sdm untuk pencelupan),Mayonnaise (1 tbsp for dipping),Condiment,Dinner,90,0.1,0.1,10.0
Cumi (goreng 3oz),Calamari (fried 3oz),Meal/Seafood,Dinner,150,13.0,8.0,7.0
Irisan Lemon (untuk cumi),Lemon Wedge (for calamari),Condiment,Dinner,3,0.1,1.0,0.0
Root Beer (1 kaleng),Root Beer (1 can),Beverage,Snack,150,0.0,40.0,0.0
McNugget Ayam (6 buah),Chicken McNuggets (6 pcs),Meal/Processed,Lunch,270,15.0,16.0,16.0
Saus BBQ (2 sdm),BBQ Sauce (2 tbsp),Condiment,Lunch,60,0.5,15.0,0.0
Madu (1 sdm),Honey (1 tbsp),Condiment,Breakfast,64,0.1,17.3,0.0
Perebutan Tahu,Tofu Scramble,Meal/Vegetarian,Breakfast,250,20.0,8.0,16.0
Kunyit (1 sdt),Turmeric (1 tsp),Condiment,Breakfast,9,0.3,1.9,0.1
Ragi Nutrisi (1 sdm),Nutritional Yeast (1 tbsp),Condiment,Breakfast,20,3.0,2.0,0.0
Seitan (3oz),Seitan (3oz),Protein/Vegetarian,Dinner,90,18.0,4.0,1.0
Kaldu Sayuran (1 gelas),Vegetable Broth (1 cup),Beverage,Dinner,15,1.0,3.0,0.0
Kembang Kol tumbuk (1 cangkir),Mashed Cauliflower (1 cup),Vegetable,Dinner,140,5.0,12.0,8.0
Saus Kacang (2 sdm),Peanut Sauce (2 tbsp),Condiment,Dinner,80,2.0,4.0,6.0
Tempe (3oz),Tempeh (3oz),Protein/Vegetarian,Lunch,160,16.0,8.0,9.0
Sauerkraut (1/2 cangkir),Sauerkraut (1/2 cup),Vegetable,Lunch,14,0.7,3.1,0.1
Roti Renyah Gandum Hitam (2 potong),Rye Crispbread (2 slices),Grain,Lunch,70,2.0,14.0,0.5
Caper (1 sdm),Capers (1 tbsp),Condiment,Dinner,2,0.2,0.4,0.1
Hati Ayam (2 ons dimasak),Chicken Liver (2 oz cooked),Protein/Meat,Dinner,91,13.6,0.6,3.6
Bawang bombay (1/2 cangkir cincang mentah),Onion (1/2 cup raw chopped),Vegetable,Dinner,32,0.9,7.5,0.1
Bok Choy (1 cangkir dikukus),Bok Choy (1 cup steamed),Vegetable,Dinner,10,1.5,2.0,0.1
Beruang Bergetah (10 buah),Gummy Bears (10 pcs),Snack/Dessert,Snack,100,2.0,22.0,0.0
"Wiski (1,5 ons suntikan)",Whiskey (1.5 oz shot),Beverage,Snack,105,0.0,0.1,0.0
Kurma (2 Medjool ukuran sedang),Dates (2 medium Medjool),Fruit,Snack,133,0.8,36.0,0.1
Tahini (1 sdm),Tahini (1 tbsp),Condiment,Snack,89,2.6,3.2,8.0
Buncis (1/2 cangkir kalengan),Chickpeas (1/2 cup canned),Legume,Lunch,135,7.0,22.0,2.0
Selada (Romaine 2 cangkir),Lettuce (Romaine 2 cups),Vegetable,Lunch,16,1.0,3.0,0.3
Saus Italia (2 sdm),Italian Dressing (2 tbsp),Condiment,Lunch,70,0.0,3.0,7.0
Crouton (1/4 cangkir),Croutons (1/4 cup),Grain,Lunch,50,1.5,7.0,2.0
Sosis Kalkun (1 patty),Turkey Sausage (1 patty),Protein/Meat,Breakfast,70,9.0,1.0,4.0
Sirup Maple (1 sdm),Maple Syrup (1 tbsp),Condiment,Breakfast,52,0.0,13.5,0.0
Quesadilla (Keju 1 sedang),Quesadilla (Cheese 1 medium),Meal/Processed,Lunch,400,18.0,35.0,22.0
Krim Asam (1 sdm),Sour Cream (1 tbsp),Condiment/Dairy,Lunch,30,0.4,0.6,2.9
Salsa (2 sdm),Salsa (2 tbsp),Condiment,Lunch,10,0.5,2.0,0.0
Kubis Merah (1 cangkir mentah),Red Cabbage (1 cup raw),Vegetable,Dinner,22,1.1,5.2,0.1
Bebek (3oz panggang),Duck (3oz roasted),Protein/Meat,Dinner,285,16.0,0.0,24.0
Saus Jeruk (1/4 cangkir untuk bebek),Orange Sauce (1/4 cup for duck),Condiment,Dinner,90,0.5,22.0,0.0
Nasi Liar (1 cangkir dimasak),Wild Rice (1 cup cooked),Grain,Dinner,166,6.5,35.0,0.6
Cupcake (Vanila 1 sedang),Cupcake (Vanilla 1 medium),Dessert,Snack,240,2.0,35.0,11.0
Frosting (Vanila 2 sdm),Frosting (Vanilla 2 tbsp),Condiment,Snack,140,0.0,22.0,6.0
Saus Pedas (1 sdt Tabasco),Hot Sauce (1 tsp Tabasco),Condiment,Breakfast,0,0.0,0.0,0.0
Bison Burger (1 patty),Bison Burger (1 patty),Protein/Meat,Lunch,150,22.0,0.0,7.0
Roti Pretzel (1 sedang),Pretzel Bun (1 medium),Grain,Lunch,230,8.0,45.0,2.0
Mustard Pedas (1 sdm),Spicy Mustard (1 tbsp),Condiment,Lunch,10,0.5,1.0,0.5
Pasta Salad (1 cangkir),Pasta Salad (1 cup),Meal/Pasta,Lunch,280,8.0,30.0,14.0
Salami (3 potong),Salami (3 slices),Protein/Processed,Lunch,110,6.0,1.0,9.0
Pepperoncini (2 paprika),Pepperoncini (2 peppers),Vegetable,Lunch,10,0.5,2.0,0.0
Santan (1/4 cangkir kalengan),Coconut Milk (1/4 cup canned),Condiment,Dinner,111,1.1,2.9,11.6
Pasta Kari Hijau (1 sdm),Green Curry Paste (1 tbsp),Condiment,Dinner,30,0.5,2.0,2.5
Paha Ayam (1 panggang),Chicken Thigh (1 roasted),Protein/Meat,Dinner,210,24.0,0.0,13.0
Nasi Melati (1 cangkir dimasak),Jasmine Rice (1 cup cooked),Grain,Dinner,205,4.3,45.0,0.4
Es Teh Thailand (1 gelas),Thai Iced Tea (1 glass),Beverage,Snack,250,3.0,35.0,12.0
Pepaya (1 cangkir kubus),Papaya (1 cup cubes),Fruit,Snack,62,0.6,15.7,0.4
Air Jeruk Nipis (1 sdm),Lime Juice (1 tbsp),Condiment,Snack,4,0.1,1.3,0.0
Salad Makaroni (1 cangkir),Macaroni Salad (1 cup),Meal/Pasta,Lunch,380,8.0,30.0,25.0
Seledri (1 batang),Celery (1 stalk),Vegetable,Lunch,6,0.3,1.2,0.1
Keju Biru (1 ons),Blue Cheese (1 oz),Dairy,Snack,100,6.0,0.7,8.0
Cokelat Hitam (1 ons 70%),Dark Chocolate (1 oz 70%),Dessert,Snack,170,2.2,13.0,12.0
Acai Bowl (1 porsi),Acai Bowl (1 serving),Meal/Fruit,Breakfast,350,5.0,60.0,12.0
Granola (1/4 cangkir topping),Granola (1/4 cup topping),Grain,Breakfast,120,3.0,15.0,6.0
Serpihan Kelapa (1 sdm topping),Coconut Flakes (1 tbsp topping),Fruit,Breakfast,35,0.3,1.5,3.3
Madu (1 sdt gerimis),Honey (1 tsp drizzle),Condiment,Breakfast,21,0.0,5.8,0.0
Koktail Udang (4 udang besar),Shrimp Cocktail (4 large shrimp),Protein/Seafood,Snack,60,10.0,1.0,1.0
Saus Koktail (2 sdm),Cocktail Sauce (2 tbsp),Condiment,Snack,30,0.5,7.0,0.0
Roti Babi (1 dikukus),Pork Bun (1 steamed),Meal/Processed,Lunch,220,8.0,30.0,8.0
Dim Sum (Siu Mai 3 pcs),Dim Sum (Siu Mai 3 pcs),Meal/Processed,Lunch,180,12.0,10.0,10.0
Kecap asin (1 sdm untuk celupan),Soy Sauce (1 tbsp for dipping),Condiment,Lunch,9,1.0,1.0,0.0
Tiram (1 sedang mentah),Oyster (1 medium raw),Protein/Seafood,Dinner,8,1.0,0.5,0.2
Saus Mignonette (1 sdm),Mignonette Sauce (1 tbsp),Condiment,Dinner,5,0.0,1.0,0.0
Daging Sapi Pho (1 mangkuk besar),Beef Pho (1 large bowl),Meal/Soup,Dinner,450,30.0,55.0,12.0
Tauge (1/4 cangkir hiasan),Bean Sprouts (1/4 cup garnish),Vegetable,Dinner,8,0.8,1.5,0.1
Kemangi Thailand (hiasan),Thai Basil (garnish),Condiment,Dinner,1,0.1,0.0,0.0
Irisan Jeruk Nipis (hiasan),Lime Wedge (garnish),Condiment,Dinner,3,0.1,1.0,0.0
Jalapeno (1 sdm diiris),Jalapeno (1 tbsp sliced),Vegetable,Dinner,4,0.1,0.8,0.1
Saus Hoisin (1 sdm),Hoisin Sauce (1 tbsp),Condiment,Dinner,35,0.3,8.0,0.2
Sriracha (1 sdt),Sriracha (1 tsp),Condiment,Dinner,5,0.1,1.0,0.1
Krep (1 polos),Crepe (1 plain),Grain,Breakfast,90,3.5,14.0,2.0
Nutella (1 sdm),Nutella (1 tbsp),Condiment,Breakfast,100,1.5,11.0,6.0
Gula Bubuk (1 sdt),Powdered Sugar (1 tsp),Condiment,Breakfast,10,0.0,2.5,0.0
Demi (3 ons),Sake (3 oz),Beverage,Dinner,117,0.4,3.8,0.0
Edamame (dalam pod 1 cangkir),Edamame (in pod 1 cup),Legume,Snack,120,11.0,9.0,5.0
Garam Laut (kasar 1/4 sdt),Sea Salt (coarse 1/4 tsp),Condiment,Snack,0,0.0,0.0,0.0
"Biryani (Ayam 1,5 cangkir)",Biryani (Chicken 1.5 cups),Meal/Meat,Dinner,520,28.0,60.0,18.0
Raita (2 sdm),Raita (2 tbsp),Condiment/Dairy,Dinner,30,1.0,2.0,2.0
Lassi (Mangga 1 cangkir),Lassi (Mango 1 cup),Beverage,Snack,180,5.0,30.0,4.0
Samosa (1 potong sayur),Samosa (1 piece vegetable),Snack/Processed,Snack,130,2.0,18.0,6.0
Asam jawa Chutney (1 sdm),Tamarind Chutney (1 tbsp),Condiment,Snack,20,0.1,5.0,0.0
Mint Chutney (1 sdm),Mint Chutney (1 tbsp),Condiment,Snack,5,0.2,0.5,0.0
Pani Puri (6 buah),Pani Puri (6 pcs),Snack/Processed,Snack,200,4.0,35.0,5.0
Buah Markisa (1 buah),Passion Fruit (1 fruit),Fruit,Snack,17,0.4,4.2,0.1
Kimchi Jjigae (1 mangkuk),Kimchi Jjigae (1 bowl),Meal/Soup,Dinner,350,15.0,20.0,22.0
Tahu Sutra (3 ons dalam sup),Silken Tofu (3oz in soup),Protein/Vegetarian,Dinner,45,5.0,2.0,2.5
Perut Babi (1 ons dalam sup),Pork Belly (1 oz in soup),Protein/Meat,Dinner,145,3.0,0.0,15.0
Gochugaru (1 sdt),Gochugaru (1 tsp),Condiment,Dinner,10,0.3,1.8,0.3
Gochujang (1 sdm),Gochujang (1 tbsp),Condiment,Dinner,30,0.5,6.0,0.0
Minyak Wijen (1 sdt),Sesame Oil (1 tsp),Condiment,Dinner,40,0.0,0.0,4.5
Kecap Ikan (1 sdt),Fish Sauce (1 tsp),Condiment,Dinner,5,0.4,0.5,0.0
Daun Bawang (1 sdm hiasan),Green Onion (1 tbsp garnish),Vegetable,Dinner,3,0.2,0.7,0.0
Kombucha (16 ons),Kombucha (16 oz),Beverage,Snack,60,0.0,14.0,0.0
Daging Sapi Wellington (1 potong),Beef Wellington (1 slice),Meal/Meat,Dinner,600,30.0,35.0,38.0
Pate (Jamur 2 sdm),Pate (Mushroom 2 tbsp),Condiment,Dinner,70,1.0,2.0,7.0
Puff Pastry (bungkus 1 ons),Puff Pastry (1 oz wrapper),Grain,Dinner,115,1.5,9.0,8.0
Prosciutto (1 potong),Prosciutto (1 slice),Protein/Meat,Dinner,35,4.0,0.0,2.5
Asparagus (6 batang dipanggang),Asparagus (6 spears roasted),Vegetable,Dinner,40,4.0,4.0,2.0
Saus Hollandaise (1 sdm),Hollandaise Sauce (1 tbsp),Condiment,Dinner,55,0.5,0.2,6.0
Flan (1 potong),Flan (1 slice),Dessert,Snack,220,6.0,35.0,7.0
Saus Karamel (1 sdm),Caramel Sauce (1 tbsp),Condiment,Snack,60,0.0,13.0,1.0
Bubur (1 cangkir polos),Congee (1 cup plain),Meal/Grain,Breakfast,130,2.5,28.0,1.0
Acar Lobak (1/4 cangkir),Pickled Radish (1/4 cup),Vegetable,Breakfast,15,0.5,3.0,0.0
Abon Babi (1 sdm),Pork Floss (1 tbsp),Protein/Meat,Breakfast,50,4.0,3.0,2.0
Century Egg (1 butir telur),Century Egg (1 egg),Protein,Breakfast,100,7.0,1.0,7.0
Arugula (2 cangkir),Arugula (2 cups),Vegetable,Lunch,10,1.0,0.8,0.2
Keju Kambing (1 ons),Goat Cheese (1 oz),Dairy,Lunch,103,6.1,0.1,8.5
Bit (1/2 cangkir panggang),Beets (1/2 cup roasted),Vegetable,Lunch,30,0.8,6.8,0.1
Kenari (1 sdm cincang),Walnuts (1 tbsp chopped),Nut,Lunch,46,1.1,1.0,4.6
Glasir Balsamic (1 sdm),Balsamic Glaze (1 tbsp),Condiment,Lunch,40,0.0,9.0,0.0
Bobotie (1 porsi),Bobotie (1 serving),Meal/Meat,Dinner,450,25.0,30.0,25.0
Nasi Kuning (1 gelas),Yellow Rice (1 cup),Grain,Dinner,230,4.0,50.0,1.0
Chutney (Mangga 1 sdm),Chutney (Mango 1 tbsp),Condiment,Dinner,45,0.1,11.0,0.1
Puding Malva (1 potong),Malva Pudding (1 slice),Dessert,Snack,380,5.0,60.0,14.0
Puding (1/4 cangkir),Custard (1/4 cup),Condiment,Snack,80,3.0,10.0,3.0
Teh Gelembung (teh susu 16 ons),Bubble Tea (16 oz milk tea),Beverage,Snack,320,2.0,70.0,4.0
Mutiara Tapioka (1/4 cangkir boba),Tapioca Pearls (1/4 cup boba),Condiment,Snack,100,0.0,25.0,0.0
"Paella (1,5 cangkir makanan laut)",Paella (1.5 cups seafood),Meal/Rice,Dinner,550,30.0,70.0,18.0
Chorizo ​​(1 ons dalam paella),Chorizo (1 oz in paella),Protein/Meat,Dinner,130,6.0,1.0,11.0
Kunyit (sejumput),Saffron (pinch),Condiment,Dinner,1,0.0,0.1,0.0
Aioli (Bawang putih 1 sdm),Aioli (Garlic 1 tbsp),Condiment,Dinner,95,0.1,0.5,10.5
Gazpacho (1 cangkir),Gazpacho (1 cup),Meal/Soup,Lunch,90,2.0,12.0,4.0
Crouton (Bawang Putih 1/4 cangkir),Croutons (Garlic 1/4 cup),Grain,Lunch,50,1.5,7.0,2.0
Minyak Zaitun (1 sdt hiasan),Olive Oil (1 tsp garnish),Condiment,Lunch,40,0.0,0.0,4.5
Churros (2 batang),Churros (2 sticks),Dessert,Snack,240,3.0,30.0,12.0
Saus Coklat (1 sdm celupan),Chocolate Sauce (1 tbsp dipping),Condiment,Snack,50,0.5,10.0,1.5
Gula Kayu Manis (1 sdt),Cinnamon Sugar (1 tsp),Condiment,Snack,20,0.0,5.0,0.0
Horchata (1 cangkir),Horchata (1 cup),Beverage,Snack,140,2.0,25.0,3.0
Ceviche (1 cangkir ikan),Ceviche (1 cup fish),Meal/Fish,Lunch,180,25.0,15.0,2.0
Bawang Merah (1/4 cangkir dalam ceviche),Red Onion (1/4 cup in ceviche),Vegetable,Lunch,16,0.3,3.7,0.0
Ketumbar (2 sdm hiasan),Cilantro (2 tbsp garnish),Condiment,Lunch,1,0.1,0.0,0.0
Kacang Jagung (1 ons),Corn Nuts (1 oz),Snack/Processed,Snack,130,2.0,23.0,4.0
"Lomo Saltado (1,5 cangkir)",Lomo Saltado (1.5 cups),Meal/Meat,Dinner,500,35.0,45.0,22.0
Kentang Goreng (sebagai pendamping),French Fries (as side),Vegetable/Processed,Dinner,200,2.0,25.0,10.0
Kecap (1 sdm di tumis),Soy Sauce (1 tbsp in stir-fry),Condiment,Dinner,9,1.0,1.0,0.0
Pasta Aji Amarillo (1 sdt),Aji Amarillo Paste (1 tsp),Condiment,Dinner,5,0.1,1.0,0.0
Pisco Sour (1 minuman),Pisco Sour (1 drink),Beverage,Snack,250,1.0,25.0,0.0
Putih Telur (dalam minuman),Egg White (in drink),Condiment,Snack,17,3.6,0.2,0.0
Angostura Pahit (tanda hubung),Angostura Bitters (dash),Condiment,Snack,5,0.0,0.0,0.0
Alfajores (1 kue),Alfajores (1 cookie),Dessert,Snack,180,2.0,22.0,10.0
Dulce de Leche (1 sdm isian),Dulce de Leche (1 tbsp filling),Condiment,Snack,65,1.0,12.0,1.5
Kelapa (hiasan parut),Coconut (shredded garnish),Fruit,Snack,10,0.1,0.5,1.0
Teman (1 cangkir),Mate (1 cup),Beverage,Breakfast,5,0.2,1.0,0.0
Media Luna (1 kue),Media Luna (1 pastry),Grain,Breakfast,190,4.0,25.0,8.0
Chimichurri (1 sdm),Chimichurri (1 tbsp),Condiment,Dinner,45,0.1,0.5,4.5
Rok Steak (4oz panggang),Skirt Steak (4oz grilled),Protein/Meat,Dinner,240,26.0,0.0,15.0
Provoleta (1 ons keju panggang),Provoleta (1 oz grilled cheese),Dairy,Dinner,100,7.0,1.0,8.0
Oregano (1 sdt),Oregano (1 tsp),Condiment,Dinner,3,0.1,0.7,0.0
Empanada (Daging Sapi 1 sedang),Empanada (Beef 1 medium),Meal/Processed,Lunch,290,10.0,28.0,16.0
Ayam Milanesa (1 porsi),Chicken Milanesa (1 serving),Meal/Meat,Dinner,450,35.0,30.0,22.0
Kentang Tumbuk (sisi),Mashed Potatoes (side),Vegetable,Dinner,150,3.0,25.0,4.0
Flan (1 potong),Flan (1 slice),Dessert,Snack,220,6.0,35.0,7.0
Choripan (1 roti lapis),Choripan (1 sandwich),Meal/Processed,Lunch,550,20.0,40.0,35.0
Baguette (irisan),Baguette (slice),Grain,Lunch,70,2.5,14.0,0.5
Chimichurri (1 sdm),Chimichurri (1 tbsp),Condiment,Lunch,45,0.1,0.5,4.5
Pizza (Margherita 1 potong),Pizza (Margherita 1 slice),Meal/Processed,Dinner,250,12.0,30.0,10.0
Mozzarella segar (1 ons),Fresh Mozzarella (1 oz),Dairy,Dinner,72,5.0,0.8,5.0
Kemangi (2 sdm segar),Basil (2 tbsp fresh),Condiment,Dinner,1,0.1,0.1,0.0
"Carbonara (1,5 cangkir)",Carbonara (1.5 cups),Meal/Pasta,Dinner,650,25.0,60.0,35.0
Guanciale (1 ons),Guanciale (1 oz),Protein/Meat,Dinner,170,3.0,0.0,18.0
Keju Pecorino (1 sdm),Pecorino Cheese (1 tbsp),Dairy,Dinner,25,1.5,0.1,2.0
Lada Hitam (1/4 sdt),Black Pepper (1/4 tsp),Condiment,Dinner,1,0.0,0.2,0.0
Kuning Telur (1 besar untuk saus),Egg Yolk (1 large in sauce),Protein,Dinner,55,2.7,0.6,4.5
Supplì (1 potong nasi goreng),Supplì (1 piece fried rice ball),Snack/Processed,Snack,200,8.0,25.0,8.0
Aperol Spritz (1 minuman),Aperol Spritz (1 drink),Beverage,Snack,180,0.0,20.0,0.0
Prosecco (3 ons),Prosecco (3 oz),Beverage,Snack,70,0.0,2.0,0.0
Soda Klub (2 ons),Club Soda (2 oz),Beverage,Snack,0,0.0,0.0,0.0
Irisan Jeruk (hiasan),Orange Slice (garnish),Fruit,Snack,5,0.1,1.0,0.0
Tagliatelle al Ragù (Bologna),Tagliatelle al Ragù (Bolognese),Meal/Pasta,Dinner,550,28.0,65.0,20.0
Daging Sapi Giling (2 ons dalam saus),Ground Beef (2 oz in sauce),Protein/Meat,Dinner,140,11.0,0.0,10.0
"Pancetta (0,5 ons dalam saus)",Pancetta (0.5 oz in sauce),Protein/Meat,Dinner,45,1.5,0.0,4.5
